,sum,Price
2017-05-15,-0.417403440125276,200102.0
2017-05-16,-0.3925724343046697,203828.0
2017-05-17,-0.3882950347452143,220621.0
2017-05-18,-0.3813030755709296,221809.0
2017-05-19,-0.3808791570841213,224118.0
2017-05-20,-0.3609502021578052,231959.0
2017-05-21,-0.377365312909201,226666.0
2017-05-22,-0.38406797544647625,249444.0
2017-05-23,-0.3739251988515431,254475.0
2017-05-24,-0.36776606323519395,286397.0
2017-05-25,-0.3716681028153778,269662.0
2017-05-26,-0.3767950628220765,260017.0
2017-05-27,-0.38796979411660826,252700.0
2017-05-28,-0.3761179084587818,249256.0
2017-05-29,-0.3870381419794505,264010.0
2017-05-30,-0.3801459650572611,267155.0
2017-05-31,-0.38373629406541626,262456.0
2017-06-01,-0.3578227987461695,271102.0
2017-06-02,-0.3661340335296481,278197.0
2017-06-03,-0.37695486476090817,282821.0
2017-06-04,-0.3796056156015405,296356.0
2017-06-05,-0.3606984828794009,304546.0
2017-06-06,-0.3615024197628542,320283.0
2017-06-07,-0.3673302537486343,320347.0
2017-06-08,-0.36440866868263055,317275.0
2017-06-09,-0.35902539115965904,321900.0
2017-06-10,-0.3749138943338575,324000.0
2017-06-11,-0.34639595131584433,332419.0
2017-06-12,-0.3854354148907029,309888.0
2017-06-13,-0.3798934165425656,320694.0
2017-06-14,-0.3944176177910318,308614.0
2017-06-15,-0.37619578650375307,284375.0
2017-06-16,-0.3730463362059768,279492.0
2017-06-17,-0.3380859526031061,291365.0
2017-06-18,-0.3704299497384565,274511.0
2017-06-19,-0.3459585645760915,299208.0
2017-06-20,-0.3628233553166901,303346.0
2017-06-21,-0.3391508079511659,295047.0
2017-06-22,-0.3735719897121499,306815.0
2017-06-23,-0.3116234097142918,311033.0
2017-06-24,-0.3572459198098502,292514.0
2017-06-25,-0.38824192919008,286639.0
2017-06-26,-0.3691839380687244,281862.0
2017-06-27,-0.3607231370659848,286869.0
2017-06-28,-0.3426328548904149,291532.0
2017-06-29,-0.345397507703789,286974.0
2017-06-30,-0.3723510088012546,280741.0
2017-07-01,-0.34171312737385123,284340.0
2017-07-02,-0.3939422842120307,284630.0
2017-07-03,-0.3585761786926788,296100.0
2017-07-04,-0.3380800928595513,295330.0
2017-07-05,-0.36379494770229215,294032.0
2017-07-06,-0.3719055174650154,296418.0
2017-07-07,-0.3732793984421411,293044.0
2017-07-08,-0.3506523105968713,295715.0
2017-07-09,-0.37383533792038703,291868.0
2017-07-10,-0.3638667762259157,273789.0
2017-07-11,-0.3890139136298042,269523.0
2017-07-12,-0.39103762786625307,281466.0
2017-07-13,-0.3895722743600614,281324.0
2017-07-14,-0.35648571203362645,255488.0
2017-07-15,-0.3756090143214108,230953.0
2017-07-16,-0.36190033903098695,209170.0
2017-07-17,-0.3901940586767988,245463.0
2017-07-18,-0.37963146241543205,263120.0
2017-07-19,-0.3936837275566473,256132.0
2017-07-20,-0.3834484501618249,301981.0
2017-07-21,-0.35270639825256483,289944.0
2017-07-22,-0.3781078978201898,293762.0
2017-07-23,-0.3775633887281262,296284.0
2017-07-24,-0.3739774582037579,303279.0
2017-07-25,-0.3623197293334062,284481.0
2017-07-26,-0.36585255615979606,274417.0
2017-07-27,-0.3619310328039177,293883.0
2017-07-28,-0.3627496753884488,306935.0
2017-07-29,-0.3160109197992362,294359.0
2017-07-30,-0.3578893834138826,298744.0
2017-07-31,-0.3647077776344603,315083.0
2017-08-01,-0.3632017524153672,314656.0
2017-08-02,-0.3807187049772185,306007.0
2017-08-03,-0.3433355552290301,304985.0
2017-08-04,-0.3489754432844546,310886.0
2017-08-05,-0.32662755455312376,329884.0
2017-08-06,-0.34638087604426515,330195.0
2017-08-07,-0.3347252619581527,406790.0
2017-08-08,-0.3468549485806985,379813.0
2017-08-09,-0.3682565585639481,378630.0
2017-08-10,-0.3377606663063918,373256.0
2017-08-11,-0.3435280816460665,407736.0
2017-08-12,-0.3521610990753348,409442.0
2017-08-13,-0.3622902805604773,424424.0
2017-08-14,-0.3732534634826393,464508.0
2017-08-15,-0.3654779475053483,457008.0
2017-08-16,-0.3538328919627204,474494.0
2017-08-17,-0.3799197530365404,470166.0
2017-08-18,-0.3507655625788775,472613.0
2017-08-19,-0.3681073489295449,447091.0
2017-08-20,-0.3689934864753836,456978.0
2017-08-21,-0.35281738580651506,440101.0
2017-08-22,-0.3615112849150972,446019.0
